./instances/ruiz/json\n20m8-74.json,1493,1537,1523
./instances/ruiz/json\n20m8-75.json,1919,1790,1978
./instances/ruiz/json\n20m8-76.json,1086,1130,1117
./instances/ruiz/json\n20m8-77.json,763,764,850
./instances/ruiz/json\n20m8-78.json,736,778,738
./instances/ruiz/json\n20m8-79.json,583,597,642
./instances/ruiz/json\n20m8-80.json,1352,1376,1408
./instances/ruiz/json\n50m2-01.json,1145,1153,1133
./instances/ruiz/json\n50m2-02.json,1241,1224,1243
./instances/ruiz/json\n50m2-03.json,1268,1257,1264
./instances/ruiz/json\n50m2-04.json,1235,1256,1248
./instances/ruiz/json\n50m2-05.json,1159,1185,1187
./instances/ruiz/json\n50m2-06.json,823,834,835
./instances/ruiz/json\n50m2-07.json,1139,1165,1145
./instances/ruiz/json\n50m2-08.json,763,774,765
./instances/ruiz/json\n50m2-09.json,872,876,891
./instances/ruiz/json\n50m2-10.json,610,631,621
./instances/ruiz/json\n50m2-11.json,1374,1410,1464
./instances/ruiz/json\n50m2-12.json,1446,1438,1418
./instances/ruiz/json\n50m2-13.json,1338,1401,1391
./instances/ruiz/json\n50m2-14.json,1335,1378,1381
./instances/ruiz/json\n50m2-15.json,1225,1248,1228
./instances/ruiz/json\n50m2-16.json,863,850,888
./instances/ruiz/json\n50m2-17.json,458,466,477
./instances/ruiz/json\n50m2-18.json,737,741,774
./instances/ruiz/json\n50m2-19.json,801,792,785
./instances/ruiz/json\n50m2-20.json,848,846,849
./instances/ruiz/json\n50m2-21.json,1495,1520,1516
./instances/ruiz/json\n50m2-22.json,1624,1650,1666
./instances/ruiz/json\n50m2-23.json,1638,1733,1699
./instances/ruiz/json\n50m2-24.json,1542,1606,1559
./instances/ruiz/json\n50m2-25.json,1425,1521,1483
./instances/ruiz/json\n50m2-26.json,944,950,962
./instances/ruiz/json\n50m2-27.json,950,952,918
./instances/ruiz/json\n50m2-28.json,854,910,886
./instances/ruiz/json\n50m2-29.json,1059,1064,1054
./instances/ruiz/json\n50m2-30.json,870,857,901
./instances/ruiz/json\n50m2-31.json,1845,1809,1890
./instances/ruiz/json\n50m2-32.json,1652,1681,1662
./instances/ruiz/json\n50m2-33.json,1492,1593,1561
./instances/ruiz/json\n50m2-34.json,1677,1720,1736
./instances/ruiz/json\n50m2-35.json,1731,1829,1805
./instances/ruiz/json\n50m2-36.json,981,1026,1009
./instances/ruiz/json\n50m2-37.json,1084,1117,1086
./instances/ruiz/json\n50m2-38.json,983,915,985
./instances/ruiz/json\n50m2-39.json,981,1054,1041
./instances/ruiz/json\n50m2-40.json,905,883,951
./instances/ruiz/json\n50m2-41.json,1402,1445,1426
./instances/ruiz/json\n50m2-42.json,863,874,870
./instances/ruiz/json\n50m2-43.json,2444,2464,2460
./instances/ruiz/json\n50m2-44.json,1100,1114,1129
./instances/ruiz/json\n50m2-45.json,1068,1076,1075
./instances/ruiz/json\n50m2-46.json,375,379,381
./instances/ruiz/json\n50m2-47.json,505,515,515
./instances/ruiz/json\n50m2-48.json,1640,1671,1674
./instances/ruiz/json\n50m2-49.json,553,569,560
./instances/ruiz/json\n50m2-50.json,645,658,660
./instances/ruiz/json\n50m2-51.json,641,655,664
./instances/ruiz/json\n50m2-52.json,2221,2264,2254
./instances/ruiz/json\n50m2-53.json,890,892,908
./instances/ruiz/json\n50m2-54.json,865,877,887
./instances/ruiz/json\n50m2-55.json,2185,2247,2246
./instances/ruiz/json\n50m2-56.json,898,916,909
./instances/ruiz/json\n50m2-57.json,994,1008,1024
./instances/ruiz/json\n50m2-58.json,1721,1747,1759
./instances/ruiz/json\n50m2-59.json,1546,1603,1577
./instances/ruiz/json\n50m2-60.json,518,515,535
./instances/ruiz/json\n50m2-61.json,1348,1370,1370
./instances/ruiz/json\n50m2-62.json,2944,3058,3141
./instances/ruiz/json\n50m2-63.json,1063,1123,1106
./instances/ruiz/json\n50m2-64.json,3145,3289,3230
./instances/ruiz/json\n50m2-65.json,3015,3073,3227
./instances/ruiz/json\n50m2-66.json,1587,1615,1586
./instances/ruiz/json\n50m2-67.json,1120,1159,1099
./instances/ruiz/json\n50m2-68.json,891,908,876
./instances/ruiz/json\n50m2-69.json,791,806,808
./instances/ruiz/json\n50m2-70.json,1947,2045,2010
./instances/ruiz/json\n50m2-71.json,784,830,774
./instances/ruiz/json\n50m2-72.json,1537,1541,1629
./instances/ruiz/json\n50m2-73.json,1046,1107,1069
./instances/ruiz/json\n50m2-74.json,864,906,878
./instances/ruiz/json\n50m2-75.json,1788,1832,1857
./instances/ruiz/json\n50m2-76.json,1696,1782,1799
./instances/ruiz/json\n50m2-77.json,992,1080,1071
./instances/ruiz/json\n50m2-78.json,2553,2640,2593
./instances/ruiz/json\n50m2-79.json,907,914,922
./instances/ruiz/json\n50m2-80.json,881,870,874
./instances/ruiz/json\n50m4-01.json,1394,1421,1425
./instances/ruiz/json\n50m4-02.json,1332,1323,1344
./instances/ruiz/json\n50m4-03.json,1412,1417,1437
./instances/ruiz/json\n50m4-04.json,1430,1448,1455
./instances/ruiz/json\n50m4-05.json,1353,1365,1358
